1.762,3.483
-1.602,3.473
3.789,1.907
-0.733,1.073
-4.084,4.209
0.432,0.736
1.461,1.501
0.650,1.948
-0.151,3.309
3.271,1.312
2.715,1.477
-3.036,2.452
0.553,3.291
-0.147,2.769
1.795,1.303
-0.477,0.242
3.155,1.172
1.318,-0.294
2.955,3.160
0.231,1.743
-2.219,0.226
-0.180,-0.727
-0.377,1.867
2.142,2.513
2.365,0.652
1.735,0.073
4.526,1.310
2.604,4.416
-0.727,1.329
-0.025,-0.207
1.056,2.016
1.718,1.288
1.058,2.724
-2.958,2.622
0.216,1.731
-0.466,3.182
1.342,3.104
3.158,2.079
0.689,1.719
1.612,0.908
2.030,1.815
2.044,3.458
3.866,3.943
6.285,2.368
2.115,2.432
0.338,2.447
-0.984,3.288
0.264,2.510
0.534,1.540
5.187,2.594
0.876,0.217
0.750,1.982
-3.211,1.250
-2.191,1.924
-0.444,2.254
1.764,1.617
1.108,1.454
-0.791,2.689
2.352,1.192
3.324,2.413
1.590,2.151
2.666,2.159
0.451,3.857
5.953,2.368
-0.222,2.323
2.074,2.261
2.689,0.902
1.788,0.181
3.372,2.520
-1.386,1.602
0.819,0.629
0.912,0.021
2.459,2.665
3.078,2.467
1.213,2.804
-0.752,4.179
2.615,-0.013
-2.115,1.601
0.426,2.232
1.590,1.230
-2.462,1.723
3.286,2.677
2.892,3.174
3.058,1.085
-3.142,3.219
2.913,2.400
2.322,3.536
2.828,2.673
2.951,0.043
2.714,1.656
-0.094,2.236
2.912,0.915
-5.177,2.486
-1.085,2.691
2.315,2.453
-0.380,2.480
-1.482,1.900
-2.192,3.598
-3.357,2.055
-0.022,1.757
2.248,1.540
-0.625,1.088
2.329,0.524
2.003,2.277
-2.567,1.231
-0.519,2.411
1.136,1.214
4.978,2.864
-1.108,1.181
0.447,1.743
-1.890,2.586
0.014,0.650
1.687,3.308
-1.565,0.590
1.468,1.369
2.912,2.153
1.425,1.546
3.822,2.632
-2.462,3.137
2.706,2.632
0.670,4.192
1.540,2.608
0.659,0.732
0.017,-0.039
-3.304,1.590
0.615,2.900
0.539,2.950
2.340,2.032
2.402,-0.941
4.901,2.281
3.256,2.350
-0.220,1.146
2.139,1.347
-1.062,2.103
-0.119,1.261
-0.151,2.951
-1.067,2.117
-0.586,2.146
1.984,2.145
3.461,0.034
-2.419,1.875
1.766,1.573
1.725,1.719
-1.545,2.531
-0.836,2.783
0.404,0.932
3.275,2.112
1.330,2.145
3.440,1.903
-0.778,0.591
-0.595,1.930
3.626,2.420
-0.871,2.094
1.604,1.865
3.006,2.994
-0.614,1.806
1.391,2.996
0.524,2.043
4.876,2.872
2.029,1.942
1.465,1.019
-0.069,2.010
-1.134,2.201
0.098,1.973
-0.631,2.362
2.238,0.884
-0.260,2.394
1.319,1.981
2.477,0.769
-0.136,3.260
2.752,1.638
-1.444,3.253
0.622,2.017
-0.136,1.224
0.146,0.423
0.953,2.708
1.134,0.481
-1.743,1.345
3.104,2.760
-0.132,1.756
-0.036,2.220
3.268,1.487
4.890,1.165
-0.419,2.015
1.011,2.030
1.115,1.708
-1.386,0.882
0.682,2.161
-0.529,0.719
-0.817,2.344
2.317,1.071
0.640,1.222
0.755,0.596
-0.048,3.673
3.732,1.668
-1.048,1.723
3.409,0.191
2.696,1.440
0.457,1.951
0.212,2.282
3.235,1.617
2.877,3.598
-1.571,1.846
-1.166,1.383
2.120,3.467
-1.600,0.830
0.256,1.523
-1.971,1.664
4.360,2.484
0.614,1.840
0.886,1.658
3.447,2.230
0.868,3.456
2.490,2.953
0.576,2.121
3.040,2.817
2.167,3.030
1.730,1.747
-0.057,1.348
1.579,0.887
1.774,1.429
0.415,3.060
2.285,1.681
-2.498,2.050
-1.489,2.087
4.390,1.206
-1.467,3.458
5.328,3.791
4.473,2.073
2.294,2.508
2.014,1.454
1.287,2.377
-1.637,3.728
5.047,0.611
4.153,1.434
-1.176,2.309
-0.537,1.659
2.249,1.646
3.767,3.312
1.953,2.507
3.576,0.636
1.936,3.068
2.315,-0.767
-1.868,2.743
-1.622,0.436
-0.185,2.058
-1.316,1.271
-0.026,3.776
1.229,0.177
-1.383,2.880
0.927,2.135
-0.003,1.006
0.352,2.228
3.577,1.314
0.866,0.597
0.601,0.734
-5.576,1.056
1.096,1.994
-2.556,2.720
2.716,1.372
-0.684,1.650
0.661,4.703
-1.459,1.670
-0.680,1.625
1.265,-0.642
1.618,3.522
0.450,1.114
1.314,-0.583
1.046,3.466
1.247,2.927
1.759,1.816
-0.442,1.242
-0.693,1.996
0.162,3.137
